sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,sw_10,sw_11,sw_12,sw_13,loss
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.002915094528154298
1,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0029543265030249205
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0.0030247939655866016
1,1,1,0,1,1,1,1,1,1,0,0,1,1,0.0030841143192508885
1,1,1,1,1,1,1,1,0,1,1,1,0,0,0.003160199219268113
1,1,1,1,1,1,0,1,1,1,1,0,0,1,0.003252340186479165
1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.003271216566324571
1,1,1,0,1,1,1,1,0,1,1,0,1,1,0.0032778202695302044
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0.003332327326289776
1,1,1,1,1,1,1,1,1,0,1,0,1,0,0.0033953813542902597
1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0034273859227334225
1,1,1,0,1,1,1,1,0,1,1,1,0,1,0.0034279322696830067
1,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0034744834638769095
1,1,1,1,1,1,0,1,1,1,0,1,1,0,0.003648523947419151
1,1,1,1,1,1,1,1,0,1,0,1,1,0,0.0036550433654537404
1,1,1,1,1,1,0,1,0,1,1,0,1,1,0.0036564739290347176
1,1,1,1,1,1,0,1,1,0,1,0,1,1,0.0036736525085573693
1,1,1,1,1,1,0,1,0,1,1,1,0,1,0.003678492114465741
1,1,1,0,1,1,0,1,1,1,1,1,0,1,0.0038754626122051647
1,1,1,1,1,0,1,1,1,1,1,0,0,1,0.004060946718361803
1,1,1,0,1,1,1,1,0,1,0,1,1,1,0.0040889067358256675
1,1,1,1,1,0,1,1,1,1,0,0,1,1,0.0041109971582204835
1,1,1,1,1,1,0,1,0,1,0,1,1,1,0.004112087950821956
1,1,1,1,1,1,0,1,1,0,1,1,1,0,0.0041319656687410986
1,1,1,0,1,1,0,1,1,1,0,1,1,1,0.004193337388156963
1,1,1,1,1,1,1,0,1,1,1,1,0,0,0.004216035796294378
1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.004258950439638802
1,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0042860591010619176
1,1,0,1,1,1,1,1,1,0,1,0,1,1,0.004381133109520742
1,1,1,1,1,1,0,1,0,1,1,1,1,0,0.0044020187276186395
1,1,1,1,1,0,1,1,1,0,1,0,1,1,0.004422839405031957
1,1,1,1,1,0,1,1,0,1,1,0,1,1,0.004513458915778562
1,1,1,1,1,1,1,1,0,0,1,1,1,0,0.004594711704002462
1,1,1,1,1,0,1,1,0,1,1,1,0,1,0.004650603218629139
1,1,0,1,1,1,1,1,1,1,0,0,1,1,0.004672438265232365
1,1,1,1,1,0,1,1,1,1,1,1,0,0,0.004678427098661488
1,1,1,0,1,1,1,0,1,1,1,1,0,1,0.004715721929658481
1,1,1,1,1,1,0,0,1,1,1,0,1,1,0.004720918645078537
1,1,1,1,1,1,0,0,1,1,1,1,0,1,0.004735029240302779
1,1,1,0,1,1,0,1,1,0,1,1,1,1,0.004774192497034112
1,1,1,1,1,1,0,1,0,0,1,1,1,1,0.004876980129079118
1,1,1,1,1,0,1,1,1,1,0,1,1,0,0.0050128199638249105
1,1,1,1,1,1,1,0,1,1,0,1,1,0,0.005112277089629871
1,1,1,1,1,0,1,1,0,1,0,1,1,1,0.005159055082683481
1,1,1,0,1,1,1,1,0,0,1,1,1,1,0.005196551859728359
1,1,0,0,1,1,1,1,1,1,1,0,1,1,0.005270658533956425
1,1,1,1,0,1,1,1,1,1,1,0,0,1,0.005345506780566507
1,1,1,0,1,1,0,1,0,1,1,1,1,1,0.0053481784302477076
1,1,1,1,0,1,1,1,1,1,0,0,1,1,0.005365305179823476
1,1,0,1,1,1,1,1,1,1,1,0,0,1,0.005397518362936733
1,1,1,0,1,0,1,1,1,1,1,1,0,1,0.005418236778579284
1,1,1,1,1,1,0,0,1,1,0,1,1,1,0.005422108245620609
1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.005610960285951608
1,1,1,1,1,0,1,0,1,1,1,0,1,1,0.005627885948638153
1,1,1,1,0,1,1,1,1,0,1,0,1,1,0.0056473540021571775
1,1,1,0,1,1,1,0,1,1,0,1,1,1,0.0057801839668649505
1,1,1,1,0,1,1,1,0,1,1,0,1,1,0.005846914062816913
1,1,1,0,1,0,1,1,1,1,0,1,1,1,0.005850497242183152
1,1,1,1,1,0,1,0,1,1,1,1,0,1,0.005873911225060077
1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.00588247688554315
1,1,1,1,1,0,1,1,0,0,1,1,1,1,0.006000593188008808
1,1,1,1,0,1,1,1,0,1,1,1,0,1,0.006100700556470447
1,1,0,1,1,1,1,1,1,1,1,0,1,0,0.006421967381517922
1,1,1,1,1,1,0,0,1,0,1,1,1,1,0.006444736018005992
1,1,1,1,1,1,1,0,1,0,1,1,1,0,0.006460213381536711
1,1,1,0,1,0,1,1,1,0,1,1,1,1,0.00654719822791263
1,1,1,1,1,0,1,1,0,1,1,1,1,0,0.006558546463760008
1,1,1,1,1,0,1,0,1,1,0,1,1,1,0.006637442946204969
1,1,1,1,0,1,1,1,1,1,1,1,0,0,0.006683441140241712
1,1,1,1,0,1,1,1,0,1,0,1,1,1,0.006684983127165395
1,1,0,1,1,1,1,1,0,1,1,1,0,1,0.006818593753122458
1,1,0,1,1,1,1,1,0,1,0,1,1,1,0.006855191965839426
1,1,0,0,1,1,0,1,1,1,1,1,1,1,0.006998401686852208
1,1,1,1,0,1,1,0,1,1,1,0,1,1,0.007011857595916021
1,1,0,1,1,1,0,1,1,0,1,1,1,1,0.007061395398996383
1,1,1,0,1,1,0,0,1,1,1,1,1,1,0.007118995426720495
1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.007133314921410255
1,1,0,1,1,1,1,1,0,0,1,1,1,1,0.007228625267752378
1,1,1,0,1,1,1,0,1,0,1,1,1,1,0.007298253827276564
1,1,0,1,1,1,1,1,0,1,1,0,1,1,0.007446182647820446
1,1,1,1,0,1,1,0,1,1,1,1,0,1,0.007492862113462992
1,1,0,1,1,1,0,1,1,1,1,1,1,0,0.007533086824665032
1,1,1,1,0,1,1,1,0,0,1,1,1,1,0.007604167552213936
1,1,0,1,1,1,0,1,1,1,0,1,1,1,0.007623435309917027
1,1,1,0,0,1,1,1,1,1,1,1,0,1,0.007721919533765831
1,1,1,1,1,0,1,0,1,0,1,1,1,1,0.0077383552920777185
1,1,1,1,0,1,1,1,1,0,1,1,1,0,0.007848413315642754
1,1,1,0,1,0,1,1,0,1,1,1,1,1,0.007965857526533032
1,1,1,0,0,1,1,1,1,1,0,1,1,1,0.008270831790735705
1,1,1,1,0,1,1,0,1,1,0,1,1,1,0.008333846267974718
1,1,1,1,1,0,1,0,1,1,1,1,1,0,0.0085176942764797
1,1,0,1,1,1,0,1,1,1,1,1,0,1,0.008523641261839812
1,1,0,1,1,1,0,1,1,1,1,0,1,1,0.008969832376752016
1,1,0,0,1,0,1,1,1,1,1,1,1,1,0.009031010882579654
1,1,0,1,1,1,1,0,1,1,1,1,0,1,0.009068516232891309
1,1,1,0,0,1,1,1,1,0,1,1,1,1,0.009085678814092953
1,1,0,0,1,1,1,1,0,1,1,1,1,1,0.009260956580718717
1,1,0,1,1,1,1,0,1,1,0,1,1,1,0.009284972161196593
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.00939292710658926
1,1,0,1,1,0,1,1,1,0,1,1,1,1,0.009473030792213802
1,1,1,1,0,1,1,0,1,0,1,1,1,1,0.009514069398983485
1,1,1,1,0,1,1,1,0,1,1,1,1,0,0.009774975642471942
1,1,0,1,1,1,1,0,1,0,1,1,1,1,0.00984309640005853
1,1,0,1,1,0,1,1,1,1,0,1,1,1,0.010213870549595036
1,1,1,0,1,0,1,0,1,1,1,1,1,1,0.010223475555167609
1,1,0,1,1,1,1,0,1,1,1,0,1,1,0.010627247797709197
1,1,0,1,1,1,1,1,0,1,1,1,1,0,0.010798977502874826
1,1,0,1,1,0,1,1,1,1,1,1,0,1,0.011296748129354786
1,0,1,1,1,1,1,0,1,1,1,1,0,1,0.011564393132071284
1,0,1,1,1,1,1,1,0,1,0,1,1,1,0.011623569688315356
1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.011660187413500903
1,0,1,1,1,1,1,0,1,1,0,1,1,1,0.01170656826384918
1,0,1,1,1,1,1,1,0,1,1,1,0,1,0.011741567584457227
1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.0118344471775024
1,0,1,1,1,1,1,1,0,0,1,1,1,1,0.011848020028538339
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.012010835253488755
1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.012018972658503678
1,0,1,1,1,1,1,0,1,0,1,1,1,1,0.01219315399265735
1,1,1,1,0,1,1,0,1,1,1,1,1,0,0.012228179557694764
1,1,0,0,1,1,1,0,1,1,1,1,1,1,0.012305376562252522
1,0,0,1,1,1,1,1,1,1,0,1,1,1,0.012405380124346374
1,1,0,1,1,0,1,1,1,1,1,0,1,1,0.012567351366809518
1,0,1,1,1,1,1,1,1,1,1,0,0,1,0.012576388343957558
1,0,1,1,1,1,1,1,0,1,1,0,1,1,0.012627073914470807
1,1,0,1,0,1,1,1,1,0,1,1,1,1,0.012665820492453031
1,0,1,1,1,1,1,1,1,1,0,0,1,1,0.01290094649144126
1,0,0,1,1,1,1,1,1,0,1,1,1,1,0.013146279651920528
1,0,1,1,1,1,1,0,1,1,1,0,1,1,0.01337812864152818
1,0,1,1,1,1,1,1,1,0,1,0,1,1,0.01350575528403767
1,1,0,1,0,1,1,1,1,1,0,1,1,1,0.01359026126435138
