sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,sw_10,sw_11,sw_12,sw_13,sw_14,sw_15,sw_16,loss
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0.02092036078799729
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.021225588960610997
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0.021253727089550867
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0.02187162716553436
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0.02221443418300171
1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0.022410075016637505
1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.022486786353178898
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0.02251565057620037
1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0.022807194710656523
1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0.022909312507922656
1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0.023375011220228475
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0.023879512041759948
1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0.02405705273087888
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0.024112088872079433
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0.024168956309914273
1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0.024235332054723883
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.024261811208652728
1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0.024455685749298225
1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0.024512674368114842
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.024720802242013694
1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0.024900071872079932
1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0.024908930177696097
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0.024998435029473055
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0.02545873049939395
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0.025606717452871262
1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0.025676730023571813
1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0.02571309948214063
1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0.025869732451714506
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0.02611996783467742
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0.02622736650039919
1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0.026304091975966684
1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0.026368052328772318
1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0.02704319415023619
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0.02705391915895866
1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0.027113761694266617
1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0.02712366422666894
1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0.027215377460239616
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0.027438512625452834
1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.027467605944036855
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0.02748988970354014
1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0.02790117325059454
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0.027998940492751465
1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0.02838698928434865
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0.028472264402008687
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0.028584816284828195
1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0.028744350098540587
1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0.029052782292502563
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0.02927394686878767
1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0.0295501808359808
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0.029622633481551267
